"cigs_smoked.Var1","cigs_smoked.Freq","curr_smoke.Var1","curr_smoke.Freq","last_smoked.Var1","last_smoked.Freq","cigs_day.Var1","cigs_day.Freq","wake_smoke.Var1","wake_smoke.Freq","time_vape.Var1","time_vape.Freq","curr_vape.Var1","curr_vape.Freq","cutting_down.Var1","cutting_down.Freq"
"1",569,"1",204,"1",177,"1",148,"1",36,"1",608,"1",148,"1",84
"2",227,"2",60,"2",170,"2",95,"2",90,"2",259,"2",45,"2",38
"3",67,"3",74,"3",86,"3",80,"3",67,"3",150,"3",70,"3",131
"4",77,"4",180,"4",243,"4",33,"4",354,"4",99,"4",153,"4",74
"5",59,"5",374,NA,NA,"5",45,NA,NA,"5",72,"5",457,"5",78
"6",67,NA,NA,NA,NA,"6",17,NA,NA,"6",73,NA,NA,NA,NA
"7",397,NA,NA,NA,NA,"7",12,NA,NA,"7",220,NA,NA,NA,NA
"8",48,NA,NA,NA,NA,"8",12,NA,NA,"8",30,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0",8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0.5",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"9",4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"10",37,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"12",10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"13",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"15",13,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"16",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"17",2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"18",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"20",12,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"22",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"25",9,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"30",2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"38",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"45",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"65",1,NA,NA,NA,NA,NA,NA,NA,NA
