"cigs_smoked.Var1","cigs_smoked.Freq","curr_smoke.Var1","curr_smoke.Freq","last_smoked.Var1","last_smoked.Freq","cigs_day.Var1","cigs_day.Freq","wake_smoke.Var1","wake_smoke.Freq","time_vape.Var1","time_vape.Freq","curr_vape.Var1","curr_vape.Freq","cutting_down.Var1","cutting_down.Freq"
"1",451,"1",111,"1",254,"1",101,"1",19,"1",484,"1",106,"1",41
"2",178,"2",40,"2",126,"2",59,"2",48,"2",169,"2",30,"2",25
"3",49,"3",54,"3",53,"3",49,"3",31,"3",78,"3",42,"3",117
"4",40,"4",118,"4",213,"4",13,"4",225,"4",67,"4",96,"4",50
"5",50,"5",323,NA,NA,"5",20,NA,NA,"5",50,"5",329,"5",27
"6",47,NA,NA,NA,NA,"6",7,NA,NA,"6",39,NA,NA,NA,NA
"7",253,NA,NA,NA,NA,"7",6,NA,NA,"7",182,NA,NA,NA,NA
"8",29,NA,NA,NA,NA,"8",9,NA,NA,"8",18,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0",8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0.1",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0.2",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0.25",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"0.5",4,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"10",19,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"12",7,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"15",6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"18",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"20",6,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"25",2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"43",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"45",1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"89",1,NA,NA,NA,NA,NA,NA,NA,NA
